sprite	canvas	visible-bounds	transparent-rows-below-visible-base
camp-adventurer-cards	136x136	122x90+9+39	5
camp-adventurer-map-study	136x136	78x89+26+40	32
camp-adventurer-shield-repair	104x104	73x79+15+9	16
camp-adventurer-sleeping	104x104	94x72+5+25	5
camp-adventurer-stew	104x104	71x89+15+7	18
camp-adventurer-watch	120x120	54x101+32+8	34
camp-adventurer-wounded	104x104	85x83+10+11	9
camp-armor-rack	104x104	84x89+11+7	9
camp-barrel-stack	104x104	66x66+19+29	19
camp-bedrolls	120x120	98x61+11+48	11
camp-cookpot	104x104	73x80+15+20	16
camp-crate-stack	104x104	58x75+23+23	23
camp-dead-tree	168x168	82x135+43+17	43
camp-fire	104x104	82x68+11+25	11
camp-gear-pile	120x120	83x73+19+38	18
camp-grindstone	104x104	84x66+10+27	10
camp-handcart	120x120	95x59+16+43	9
camp-lantern-post	136x136	48x111+44+13	44
camp-map-table	136x136	96x79+20+46	20
camp-palisade-checkpoint	168x168	153x113+11+44	4
camp-rough-fence	136x136	109x62+13+63	14
camp-smith-work-area	168x168	104x111+29+53	35
camp-supply-stack	136x136	88x91+21+37	27
camp-tent-large	168x168	146x102+10+57	12
camp-tent-small	136x136	117x84+10+41	9
camp-wagon	168x168	146x107+14+55	8
camp-weapon-rack	104x104	77x92+14+4	13
