# The Hall of Five Wounds (id=1, 28x41)
# start=(11,39) encounter=0.05
# . floor  # solid  @ start  ^v inter-floor stairs / local ramp direction  >< local ramp direction  T treasure  ~ water  N npc  ! event  P tele  C chute  D dark  M antimagic

   0123456789012345678901234567
 0 ############################
 1 ############################
 2 #########..#######T.......T#
 3 ########..N.######....####.#
 4 ###T.M.......>............!#
 5 ###D###.....!###.#.#..#.##.#
 6 ###D.!.!.........#!#....N..#
 7 ###D###......###.#.#.##.##.#
 8 ###C###N......T............#
 9 ###..........###.######.##.#
10 #######......>....#####....#
11 ###########.###########.!..#
12 ###..T..............T......#
13 ###P###.##...####.#...#.#.##
14 ###.###.##.!.####.###.#.#.##
15 ###!....##....###!.~.....!.#
16 ###.#.#.###.#####.###.#.#~##
17 ###.#.#P###.#####.###.#.#~##
18 #T...N..#.<...###...N.....T#
19 ###......!....###.###......#
20 #########.N...~~~~.........#
21 ###..####......~~..v.#######
22 ###!........#######...######
23 ###.#####..!.!#####....#####
24 ###.#####.....#####....#####
25 #########!....#####....#####
26 #########.....#####.N.######
27 #########......#..##########
28 ########.........N##########
29 ########...N...!..##########
30 ###########!################
31 #########.....##############
32 #########.....##############
33 #########.....##############
34 #########..!..##############
35 #########.....##############
36 ###########.################
37 ###########.################
38 ###########.################
39 ###########@################
40 ############################

# Overlays:
#   tileset-zone unfinished-index (1,12)-(9,20) theme=f2
#   tileset-zone upward-cistern (15,12)-(22,20) theme=f5
#   tileset-zone cut-bell-chapel (1,2)-(10,11) theme=f4
#   tileset-zone ember-suture (11,2)-(22,11) theme=f3
#   tileset-zone hotboi-tavern (19,21)-(23,26) theme=hotboi
#   tileset-zone namanda-church (8,2)-(11,8) theme=namanda
#   tileset-zone namanda-church-threshold (11,9)-(11,9) theme=namanda
#   tileset-zone ember-stitchworks (23,2)-(26,11) theme=f3
#   tileset-zone cistern-overflow (23,12)-(26,20) theme=f5
#   tileset-zone surveyors-rest (8,27)-(15,29) theme=f1
#   tileset-zone isobels-iso-spells (16,27)-(17,29) theme=isobel
#   tileset-zone kept-gate-threshold (9,31)-(13,31) theme=descent
#   tileset-zone kept-gate-approach (9,32)-(13,35) theme=gatehouse
#   height-zone gate-hall (9,31)-(13,35) floorZ=inherit ceilingZ=3
#   height-zone central-hall (10,12)-(14,26) floorZ=inherit ceilingZ=1.5
#   height-zone index-ramp (10,18)-(10,18) floorZ=0 ceilingZ=2.5
#   height-zone chapel-vault (1,2)-(10,11) floorZ=inherit ceilingZ=2.5
#   height-zone namanda-vault (8,2)-(11,9) floorZ=inherit ceilingZ=3
#   height-zone index-stack (1,12)-(9,20) floorZ=1 ceilingZ=2.5
#   height-zone ember-loft (11,2)-(22,11) floorZ=0 ceilingZ=2.5
#   height-zone ember-elevated (14,2)-(22,11) floorZ=1 ceilingZ=3
#   height-zone stitchworks-loft (23,2)-(26,10) floorZ=1 ceilingZ=3
#   local-ramp (10,18) uphill=w
#   local-ramp (13,4) uphill=e
#   local-ramp (13,10) uphill=e
#   lock (11,12) n key=crypt-key
#   treasure (1,18) items=[antidote, healing-potion] trap=poison
#   treasure (5,12) items=[dagger+1, eye-drops] trap=stunner
#   treasure (20,12) items=[healing-potion]
#   treasure (3,4) items=[holy-symbol, healing-potion] trap=alarm
#   treasure (14,8) items=[lexicon-key, short-sword+1, healing-potion] trap=gas
#   treasure (18,2) items=[shield+1, warden-sphere] trap=stunner
#   treasure (26,2) items=[cursed-blade, healing-potion] trap=alarm
#   treasure (26,18) items=[crypt-key, smelling-salts]
#   water (14,20) depth=1
#   water (15,20) depth=2
#   water (16,20) depth=2
#   water (17,20) depth=3
#   water (19,15) depth=1
#   water (15,21) depth=4
#   water (16,21) depth=4
#   water (25,16) depth=1
#   water (25,17) depth=2
#   npc (10,20) id=oren-bellkeeper name=Oren
#   npc (5,18) id=rill-of-pages name=Rill-of-Pages
#   npc (20,18) id=tallow-in-a-boat name=Tallow-in-a-Boat
#   npc (7,8) id=sister-caldris name=Sister Caldris
#   npc (20,26) id=hot-boi name=Hot Boi
#   npc (10,3) id=namanda-altar name=Namanda's altar
#   npc (24,6) id=morrow-company name=Morrow Company
#   npc (11,29) id=second-survey name=The Second Survey
#   npc (17,28) id=isobel name=Isobel
#   event (11,23) kind=message
#   event (9,19) kind=message
#   event (3,15) kind=message
#   event (11,14) kind=message
#   event (17,15) kind=message
#   event (5,6) kind=message
#   event (7,6) kind=heal
#   event (12,5) kind=damage
#   event (18,6) kind=message
#   event (3,22) kind=keyReward
#   event (13,23) kind=message
#   event (9,25) kind=message
#   event (26,4) kind=damage
#   event (24,11) kind=message
#   event (25,15) kind=message
#   event (15,29) kind=message
#   event (11,34) kind=message
#   event (11,30) kind=message
#   teleporter (3,13) -> floor 1 (7,17)
#   teleporter (7,17) -> floor 1 (3,13)
#   chute (3,8) -> floor 1 (3,22)
